,startdateweek,weekly_ufocount,weekly_ufopct,year,month,weeknum,week_id
335,2012-03-11,89,18.936170212765962,2012,3,10,2012-10
336,2011-11-13,89,18.936170212765962,2011,11,45,2011-45
337,2006-12-17,89,18.936170212765962,2006,12,50,2006-50
338,2015-06-21,89,18.936170212765962,2015,6,25,2015-25
339,2010-08-08,89,18.936170212765962,2010,8,31,2010-31
340,2015-05-03,89,18.936170212765962,2015,5,18,2015-18
341,2006-07-16,89,18.936170212765962,2006,7,28,2006-28
342,2008-07-20,88,18.72340425531915,2008,7,29,2008-29
343,2019-11-10,88,18.72340425531915,2019,11,45,2019-45
344,2012-01-22,88,18.72340425531915,2012,1,3,2012-3
345,2015-01-25,88,18.72340425531915,2015,1,4,2015-4
346,2020-06-28,88,18.72340425531915,2020,6,26,2020-26
347,2016-10-09,87,18.51063829787234,2016,10,40,2016-40
348,2010-11-07,87,18.51063829787234,2010,11,44,2010-44
349,2007-10-07,87,18.51063829787234,2007,10,40,2007-40
350,2014-03-09,87,18.51063829787234,2014,3,10,2014-10
351,2008-09-28,87,18.51063829787234,2008,9,39,2008-39
352,2017-03-19,87,18.51063829787234,2017,3,11,2017-11
353,2012-05-06,87,18.51063829787234,2012,5,18,2012-18
354,2008-07-13,86,18.29787234042553,2008,7,28,2008-28
355,2010-08-01,86,18.29787234042553,2010,8,30,2010-30
356,2013-03-03,86,18.29787234042553,2013,3,9,2013-9
357,2020-06-07,86,18.29787234042553,2020,6,23,2020-23
358,2015-05-10,86,18.29787234042553,2015,5,19,2015-19
359,2013-03-31,86,18.29787234042553,2013,3,13,2013-13
360,2007-10-21,86,18.29787234042553,2007,10,42,2007-42
361,2017-08-13,86,18.29787234042553,2017,8,32,2017-32
362,2017-01-29,86,18.29787234042553,2017,1,4,2017-4
363,2016-02-07,86,18.29787234042553,2016,2,5,2016-5
364,2017-08-27,86,18.29787234042553,2017,8,34,2017-34
365,2015-01-04,86,18.29787234042553,2015,1,1,2015-1
366,2015-02-08,86,18.29787234042553,2015,2,6,2015-6
367,2009-08-30,85,18.08510638297872,2009,8,35,2009-35
368,2018-07-22,85,18.08510638297872,2018,7,29,2018-29
369,2009-02-15,85,18.08510638297872,2009,2,7,2009-7
370,2008-01-13,85,18.08510638297872,2008,1,2,2008-2
371,2008-01-27,85,18.08510638297872,2008,1,4,2008-4
372,2016-05-29,85,18.08510638297872,2016,5,21,2016-21
373,2019-09-01,85,18.08510638297872,2019,9,35,2019-35
374,2015-05-31,85,18.08510638297872,2015,5,22,2015-22
375,2016-07-17,85,18.08510638297872,2016,7,28,2016-28
376,2017-10-15,85,18.08510638297872,2017,10,41,2017-41
377,2012-02-12,85,18.08510638297872,2012,2,6,2012-6
378,2007-07-22,84,17.872340425531913,2007,7,29,2007-29
379,2008-08-17,84,17.872340425531913,2008,8,33,2008-33
380,2017-11-26,84,17.872340425531913,2017,11,47,2017-47
381,2019-08-11,84,17.872340425531913,2019,8,32,2019-32
382,2009-01-25,84,17.872340425531913,2009,1,4,2009-4
383,2020-02-16,84,17.872340425531913,2020,2,7,2020-7
384,2012-01-29,84,17.872340425531913,2012,1,4,2012-4
385,2019-06-30,84,17.872340425531913,2019,6,26,2019-26
386,2017-05-14,84,17.872340425531913,2017,5,19,2017-19
387,2009-09-06,84,17.872340425531913,2009,9,36,2009-36
388,2016-06-05,83,17.659574468085104,2016,6,22,2016-22
389,2020-01-05,83,17.659574468085104,2020,1,1,2020-1
390,2014-12-21,83,17.659574468085104,2014,12,51,2014-51
391,2017-07-23,83,17.659574468085104,2017,7,29,2017-29
392,2020-05-31,83,17.659574468085104,2020,5,22,2020-22
393,2017-05-21,83,17.659574468085104,2017,5,20,2017-20
394,2016-03-20,82,17.446808510638302,2016,3,11,2016-11
395,2017-04-23,82,17.446808510638302,2017,4,16,2017-16
396,2016-02-21,82,17.446808510638302,2016,2,7,2016-7
397,2012-12-02,82,17.446808510638302,2012,12,48,2012-48
398,2016-10-16,82,17.446808510638302,2016,10,41,2016-41
399,2013-05-12,82,17.446808510638302,2013,5,19,2013-19
400,2011-11-27,82,17.446808510638302,2011,11,47,2011-47
401,2012-04-01,82,17.446808510638302,2012,4,13,2012-13
402,2011-03-06,81,17.23404255319149,2011,3,9,2011-9
403,2018-08-12,81,17.23404255319149,2018,8,32,2018-32
404,2015-04-26,81,17.23404255319149,2015,4,17,2015-17
405,2010-06-27,81,17.23404255319149,2010,6,25,2010-25
406,2008-04-13,81,17.23404255319149,2008,4,15,2008-15
407,2010-09-12,81,17.23404255319149,2010,9,36,2010-36
408,2017-07-16,81,17.23404255319149,2017,7,28,2017-28
409,2008-08-24,80,17.02127659574468,2008,8,34,2008-34
410,2009-02-01,80,17.02127659574468,2009,2,5,2009-5
411,2016-01-31,80,17.02127659574468,2016,1,4,2016-4
412,2014-03-16,80,17.02127659574468,2014,3,11,2014-11
413,2020-02-09,80,17.02127659574468,2020,2,6,2020-6
